paper_id,gender,race,decision
BkbY4psgg,male,EastAsian,Accept
rJxdQ3jeg,male,French,Accept
rJY0-Kcll,male,IndianSubContinent,Accept
S1Bb3D5gg,male,British,Accept
Hk4_qw5xe,male,EastEuropean,Accept
SJ6yPD5xg,male,Jewish,Accept
Hk8N3Sclg,female,Africans,Accept
Sy8gdB9xx,,EastAsian,Accept
r1Ue8Hcxg,male,Jewish,Accept
SJ3rcZcxl,male,EastAsian,Accept
rJLS7qKel,male,EastEuropean,Accept
H1oyRlYgg,male,Muslim,Accept
HkwoSDPgg,male,British,Accept
S1RP6GLle,male,Japanese,Accept
HJ0NvFzxl,male,French,Accept
Sks9_ajex,male,EastEuropean,Accept
r1YNw6sxg,male,French,Accept
B1oK8aoxe,male,Hispanic,Accept
BJK3Xasel,male,British,Accept
SkkTMpjex,male,EastAsian,Accept
rJqFGTslg,male,EastAsian,Accept
BJAFbaolg,male,British,Accept
S1TER2oll,female,EastAsian,Accept
rk5upnsxe,female,EastAsian,Accept
HkEI22jeg,female,British,Accept
S1X7nhsxl,male,British,Accept
B1Igu2ogg,female,EastAsian,Accept
Hyq4yhile,male,IndianSubContinent,Accept
B1gtu5ilg,male,EastAsian,Accept
BJhZeLsxx,male,EastEuropean,Accept
SJJKxrsgl,male,EastAsian,Accept
SkYbF1slg,male,EastAsian,Accept
BJrFC6ceg,male,British,Accept
HJKkY35le,male,EastAsian,Accept
Skn9Shcxe,male,EastEuropean,Accept
B184E5qee,male,British,Accept
Sk2Im59ex,male,IndianSubContinent,Accept
B16dGcqlx,male,French,Accept
rk9eAFcxg,male,IndianSubContinent,Accept
ry_sjFqgx,male,Germanic,Accept
r1LXit5ee,male,French,Accept
HJGwcKclx,female,Germanic,Accept
HJjiFK5gx,,EastAsian,Accept
rJTKKKqeg,male,Jewish,Accept
rJQKYt5ll,male,Germanic,Accept
rJ0-tY5xe,female,EastAsian,Accept
B1ewdt9xe,male,British,Accept
Sk-oDY9ge,female,Hispanic,Accept
Hk95PK9le,male,French,Accept
BJKYvt5lg,male,IndianSubContinent,Accept
BJYwwY9ll,male,EastAsian,Accept
Hk3mPK5gg,female,EastAsian,Accept
rJ0JwFcex,male,Italian,Accept
rkEFLFqee,male,Hispanic,Accept
HJDBUF5le,male,British,Accept
HJWHIKqgl,male,British,Accept
ryHlUtqge,female,British,Accept
S11KBYclx,male,Jewish,Accept
ry4Vrt5gl,male,EastAsian,Accept
HJTzHtqee,,EastAsian,Accept
H1VyHY9gg,male,EastAsian,Accept
Hku9NK5lx,male,EastAsian,Accept
BybtVK9lg,male,IndianSubContinent,Accept
ryelgY5eg,male,IndianSubContinent,Accept
B1M8JF9xx,male,EastAsian,Accept
S1_pAu9xl,male,EastAsian,Accept
HyoST_9xl,male,EastAsian,Accept
Bkab5dqxe,male,EastAsian,Accept
SJTQLdqlg,male,Jewish,Accept
ByxpMd9lx,male,EastAsian,Accept
B1hdzd5lg,male,EastAsian,Accept
SyK00v5xx,male,Hispanic,Accept
BydARw9ex,female,British,Accept
r1nTpv9eg,male,IndianSubContinent,Accept
ryT4pvqll,male,EastAsian,Accept
ryrGawqex,male,British,Accept
SyxeqhP9ll,female,EastAsian,Accept
SJGCiw5gl,male,EastEuropean,Accept
B1MRcPclx,male,EastAsian,Accept
S1c2cvqee,male,British,Accept
B1-q5Pqxl,,EastAsian,Accept
Bks8cPcxe,male,EastAsian,Accept
HJ0UKP9ge,male,EastAsian,Accept
HyGTuv9eg,male,Jewish,Accept
rJeKjwvclx,male,EastAsian,Accept
SkxKPDv5xl,male,Muslim,Accept
Bk8BvDqex,female,French,Accept
BylSPv9gx,male,IndianSubContinent,Accept
rJiNwv9gg,male,Jewish,Accept
HkE0Nvqlg,male,EastAsian,Accept
rJqBEPcxe,male,Jewish,Accept
Hy6b4Pqee,male,British,Accept
HJ1kmv9xx,male,EastAsian,Accept
BysvGP5ee,male,EastAsian,Accept
S1dIzvclg,male,French,Accept
B1ckMDqlg,male,British,Accept
HkYhZDqxg,male,Hispanic,Accept
Hkg8bDqee,male,IndianSubContinent,Accept
ry18Ww5ee,female,EastAsian,Accept
Byiy-Pqlx,male,EastAsian,Accept
H1zJ-v5xl,male,British,Accept
B1s6xvqlx,female,Italian,Accept
SyWvgP5el,male,IndianSubContinent,Accept
Sy6iJDqlx,male,IndianSubContinent,Accept
rJxDkvqee,female,EastAsian,Accept
rkFBJv9gg,male,British,Accept
Hkg4TI9xl,male,British,Accept
r1rz6U5lg,male,British,Accept
By5e2L9gl,male,Hispanic,Accept
HkNRsU5ge,male,British,Accept
BJC_jUqxe,,EastAsian,Accept
ByOvsIqeg,male,Hispanic,Accept
H1acq85gx,male,French,Accept
S1jE5L5gl,male,British,Accept
BydrOIcle,male,Germanic,Accept
rJbbOLcex,female,French,Accept
ByIAPUcee,,EastEuropean,Accept
HJGODLqgx,male,EastAsian,Accept
HyTqHL5xg,male,Jewish,Accept
Byk-VI9eg,male,Germanic,Accept
r1G4z8cge,male,Nordic,Accept
Sy2fzU9gl,female,British,Accept
r1Aab85gg,male,British,Accept
BJ5UeU9xx,female,French,Accept
rkE3y85ee,male,EastAsian,Accept
ByqiJIqxg,male,IndianSubContinent,Accept
SyQq185lg,male,EastAsian,Accept
SyVVJ85lg,male,EastAsian,Accept
B1kJ6H9ex,male,British,Accept
HkpbnH9lx,male,British,Accept
r1VdcHcxx,male,Germanic,Accept
Skq89Scxx,male,EastEuropean,Accept
ry2YOrcge,male,IndianSubContinent,Accept
r1VGvBcxl,male,Muslim,Accept
SJMGPrcle,male,Jewish,Accept
ByldLrqlx,male,IndianSubContinent,Accept
H1fl8S9ee,male,British,Accept
S1LVSrcge,male,British,Accept
HyxQzBceg,male,French,Accept
SJ25-B5eg,female,EastAsian,Accept
SJvYgH9xe,,British,Accept
HJgXCV9xx,male,EastAsian,Accept
B1ElR4cgg,male,French,Accept
rkE8pVcle,male,EastAsian,Accept
H1W1UN9gg,male,Germanic,Accept
S1VaB4cex,male,French,Accept
SJkXfE5xx,male,Italian,Accept
Bk0FWVcgx,,British,Accept
B1GOWV5eg,male,IndianSubContinent,Accept
S1oWlN9ll,female,EastAsian,Accept
rJ8Je4clg,male,British,Accept
ryh9pmcee,male,EastAsian,Accept
SkB-_mcel,male,Jewish,Accept
HyQJ-mclg,,EastAsian,Accept
B1YfAfcgl,male,IndianSubContinent,Accept
SkhU2fcll,male,EastAsian,Accept
HyM25Mqel,male,EastAsian,Accept
BJ6oOfqge,male,British,Accept
SJzCSf9xg,male,Nordic,Accept
H12GRgcxg,male,Jewish,Accept
Skvgqgqxe,male,Japanese,Accept
Sys6GJqxl,female,EastAsian,Accept
ryxB0Rtxx,male,Nordic,Accept
BJtNZAFgg,male,British,Accept
rJ8uNptgl,female,EastAsian,Accept
rJPcZ3txx,male,EastAsian,Accept
S1jmAotxg,male,Jewish,Accept
rJfMusFll,,IndianSubContinent,Accept
HkljfjFee,female,EastAsian,Accept
r1aPbsFle,male,Muslim,Accept
ryhqQFKgl,male,EastAsian,Accept
ryMxXPFex,male,British,Accept
r10FA8Kxg,male,British,Accept
HJpfMIFll,female,EastAsian,Accept
BymIbLKgl,male,IndianSubContinent,Accept
Hk8TGSKlg,female,Jewish,Accept
BkLhzHtlg,female,Jewish,Accept
BJm4T4Kgx,male,EastEuropean,Accept
rJEgeXFex,male,French,Accept
SJRpRfKxx,male,Italian,Accept
BkVsEMYel,male,Jewish,Accept
BJ3filKll,male,Muslim,Accept
SJU4ayYgl,male,French,Accept
r1fYuytex,male,Muslim,Accept
r1X3g2_xl,male,Japanese,Accept
BJh6Ztuxl,male,Africans,Accept
Byj72udxe,male,British,Accept
SJDaqqveg,male,EastEuropean,Accept
SJGPL9Dex,male,French,Accept
HyAbMKwxe,male,EastAsian,Accept
ryuxYmvel,male,EastEuropean,Accept
SkpSlKIel,female,EastAsian,Accept
S1di0sfgl,male,EastAsian,Accept
HkNKFiGex,male,British,Accept
rkGabzZgl,male,EastAsian,Accept
rkpACe1lx,male,EastAsian,Accept
BJO-BuT1g,male,French,Accept
r1rhWnZkg,female,EastAsian,Accept
HJ5PIaseg,male,British,Invite
Hy-2G6ile,male,Italian,Invite
Bkul3t9ee,male,French,Invite
SywUHFcge,,EastAsian,Invite
HJStZKqel,male,British,Invite
SkuqA_cgx,male,British,Invite
S1Y0td9ee,male,Italian,Invite
HkJq1Ocxl,male,Africans,Invite
By14kuqxx,male,Italian,Invite
HJTXaw9gx,,British,Invite
H1wgawqxl,male,Germanic,Invite
rJ6DhP5xe,male,IndianSubContinent,Invite
HJF3iD9xe,male,IndianSubContinent,Invite
rkYmiD9lg,male,EastEuropean,Invite
ByBwSPcex,male,EastAsian,Invite
HJOZBvcel,male,EastEuropean,Invite
H1oRQDqlg,male,EastAsian,Invite
r1GKzP5xx,,French,Invite
Hyvw0L9el,male,British,Invite
H1Fk2Iqex,male,British,Invite
Hk85q85ee,male,EastAsian,Invite
rkmDI85ge,,British,Invite
HJ9rLLcxg,male,British,Invite
S1QefL5ge,male,EastAsian,Invite
HyWG0H5ge,male,Italian,Invite
Hk4kQHceg,male,Germanic,Invite
HkpLeH9el,male,French,Invite
BJ8fyHceg,female,Hispanic,Invite
Bk2TqVcxe,male,Hispanic,Invite
SkXIrV9le,male,Hispanic,Invite
SyJNmVqgg,male,EastAsian,Invite
Bk8aOm9xl,male,Africans,Invite
B16Jem9xe,male,Muslim,Invite
ByG4hz5le,female,EastAsian,Invite
SyZprb5xg,male,IndianSubContinent,Invite
BkGakb9lx,male,British,Invite
B1vRTeqxg,male,British,Invite
r1R5Z19le,male,British,Invite
BJRIA3Fgg,male,EastAsian,Invite
r1br_2Kge,male,British,Invite
H1kjdOYlx,male,British,Invite
r1xUYDYgg,male,Japanese,Invite
SyEiHNKxx,male,British,Invite
S1Bm3T_lg,male,British,Invite
ryUPiRvge,male,Italian,Invite
S1OufnIlx,male,EastEuropean,Invite
B1jnyXXJx,male,IndianSubContinent,Invite
HkNEuToge,male,EastAsian,Reject
B1ZXuTolx,male,Italian,Reject
ByvJuTigl,male,EastEuropean,Reject
ry_4vpixl,female,British,Reject
H1_EDpogx,male,EastAsian,Reject
HJrDIpiee,male,British,Reject
Byx5BTilg,male,EastEuropean,Reject
rkuDV6iex,male,EastAsian,Reject
SJ8BZTjeg,male,IndianSubContinent,Reject
SyOvg6jxx,male,EastAsian,Reject
B1-Hhnslg,male,British,Reject
HkuVu3ige,male,EastEuropean,Reject
r17RD2oxe,male,EastAsian,Reject
Sk8J83oee,male,EastAsian,Reject
S1JG13oee,male,Japanese,Reject
ByZvfijeg,male,Italian,Reject
ry7O1ssex,male,EastAsian,Reject
ryaFG5ige,female,British,Reject
Hk-mgcsgx,female,EastAsian,Reject
H1Go7Koex,female,EastAsian,Reject
BJjn-Yixl,male,EastAsian,Reject
ryQbbFile,male,Japanese,Reject
HyY4Owjll,male,British,Reject
SJk01vogl,male,EastEuropean,Reject
SyW2QSige,male,British,Reject
HyWDCXjgx,male,EastAsian,Reject
rywUcQogx,male,Jewish,Reject
HJDdiT9gl,male,EastAsian,Reject
ryF7rTqgl,male,French,Reject
Syfkm6cgx,male,British,Reject
ryCcJaqgl,male,EastAsian,Reject
H1MjAnqxg,male,Jewish,Reject
r1S083cgx,male,Italian,Reject
ryTYxh5ll,male,EastEuropean,Reject
ByEPMj5el,male,Italian,Reject
SJZAb5cel,male,Japanese,Reject
HyenWc5gx,male,Germanic,Reject
ryjp1c9xg,male,British,Reject
SkwSJ99ex,male,EastAsian,Reject
SJ_QCYqle,male,Muslim,Reject
S19eAF9ee,female,EastAsian,Reject
r1te3Fqel,male,EastAsian,Reject
r1IRctqxg,male,EastAsian,Reject
Bk3F5Y9lx,female,EastAsian,Reject
HJtN5K9gx,,British,Reject
rkaRFYcgl,male,Italian,Reject
r1Chut9xl,male,French,Reject
r1PRvK9el,male,EastAsian,Reject
rJY3vK9eg,male,French,Reject
BkUDvt5gg,male,British,Reject
BJC8LF9ex,male,EastAsian,Reject
BJFG8Yqxl,male,EastAsian,Reject
ry3iBFqgl,male,Germanic,Reject
HkcdHtqlx,male,IndianSubContinent,Reject
rJbPBt9lg,male,EastAsian,Reject
B1KBHtcel,male,Jewish,Reject
Hy0L4t5el,male,EastAsian,Reject
BJVEEF9lx,female,Hispanic,Reject
SkJeEtclx,male,Muslim,Reject
Sks3zF9eg,male,Italian,Reject
BkIqod5ll,male,Germanic,Reject
ByToKu9ll,female,EastAsian,Reject
r1w7Jdqxl,female,EastAsian,Reject
HkxAAvcxx,male,British,Reject
ByW2Avqgg,male,Muslim,Reject
HyWWpw5ex,male,IndianSubContinent,Reject
By1snw5gl,male,IndianSubContinent,Reject
H13F3Pqll,female,British,Reject
rkFd2P5gl,male,British,Reject
H178hw9ex,,Nordic,Reject
rkjZ2Pcxe,male,IndianSubContinent,Reject
HksioDcxl,male,EastAsian,Reject
r1Usiwcex,,Muslim,Reject
Sk8csP5ex,male,British,Reject
B186cP9gx,male,Japanese,Reject
Syoiqwcxx,male,British,Reject
SJttqw5ge,male,EastAsian,Reject
HJcLcw9xg,male,British,Reject
B1G9tvcgx,male,Japanese,Reject
ryEGFD9gl,male,British,Reject
BJbD_Pqlg,male,British,Reject
HJPmdP9le,male,EastAsian,Reject
rJJRDvcex,male,EastAsian,Reject
ByC7ww9le,female,EastAsian,Reject
B1E7Pwqgl,male,EastAsian,Reject
SkCILwqex,male,Italian,Reject
BkmM8Dceg,male,EastAsian,Reject
r1BJLw9ex,male,British,Reject
H1_QSDqxl,male,Italian,Reject
SkC_7v5gx,male,EastAsian,Reject
SJgWQPcxl,,EastAsian,Reject
HJSCGD9ex,male,IndianSubContinent,Reject
Sy4tzwqxe,male,EastAsian,Reject
BJ_MGwqlg,male,British,Reject
HyecJGP5ge,male,British,Reject
HJV1zP5xg,male,French,Reject
HycUbvcge,male,British,Reject
SkyQWDcex,female,EastAsian,Reject
HkSOlP9lg,male,EastEuropean,Reject
BJ--gPcxl,female,British,Reject
Bkfwyw5xg,female,EastAsian,Reject
BkJsCIcgl,male,Jewish,Reject
Bk0MRI5lg,male,British,Reject
rye9LT8cee,female,EastAsian,Reject
Bk_zTU5eg,male,IndianSubContinent,Reject
rkpdnIqlx,male,IndianSubContinent,Reject
SJJN38cge,male,Muslim,Reject
ryPx38qge,male,British,Reject
SJc1hL5ee,male,French,Reject
r1Bjj8qge,male,Italian,Reject
HkyYqU9lx,male,Jewish,Reject
r1WUqIceg,male,EastEuropean,Reject
SJg498clg,male,French,Reject
BkSmc8qll,male,Nordic,Reject
rJJ3YU5ge,male,Jewish,Reject
H1hoFU9xe,male,EastEuropean,Reject
Hk1iOLcle,male,British,Reject
S1HcOI5le,male,EastAsian,Reject
SkgewU5ll,male,EastAsian,Reject
HkCjNI5ex,male,Hispanic,Reject
H1eLE8qlx,female,French,Reject
r1aGWUqgg,male,British,Reject
BycCx8qex,male,EastAsian,Reject
Hk8rlUqge,male,Japanese,Reject
BJ0Ee8cxx,male,IndianSubContinent,Reject
B1mAJI9gl,female,British,Reject
rJg_1L5gg,male,French,Reject
BkdpaH9ll,female,EastAsian,Reject
BkSqjHqxg,male,British,Reject
rJM69B5xx,male,EastEuropean,Reject
BJmCKBqgl,male,IndianSubContinent,Reject
rJq_YBqxx,male,EastAsian,Reject
SJiFvr9el,male,Italian,Reject
H1GEvHcee,male,EastAsian,Reject
SJIMPr9eg,male,Italian,Reject
rJe-Pr9le,male,Japanese,Reject
SygGlIBcel,male,French,Reject
Hyanrrqlg,female,EastAsian,Reject
BkV4VS9ll,male,British,Reject
SJ-uGHcee,male,EastAsian,Reject
BJluGHcee,male,Jewish,Reject
Bygq-H9eg,male,Italian,Reject
HysBZSqlx,male,IndianSubContinent,Reject
HJlgm-B9lx,male,EastAsian,Reject
HyCRyS9gx,male,EastEuropean,Reject
BkjLkSqxg,male,French,Reject
HJIY0E9ge,male,Muslim,Reject
ryWKREqxx,male,EastAsian,Reject
S13wCE9xx,male,EastEuropean,Reject
HkLXCE9lx,male,EastAsian,Reject
Hkz6aNqle,male,EastAsian,Reject
BysZhEqee,male,EastAsian,Reject
ryZqPN5xe,female,British,Reject
Hk6a8N5xe,male,Italian,Reject
Hy-lMNqex,male,French,Reject
HyFkG45gl,female,Jewish,Reject
Bkbc-Vqeg,male,IndianSubContinent,Reject
BJ9fZNqle,male,French,Reject
ByG8A7cee,male,EastAsian,Reject
SJCscQcge,female,EastEuropean,Reject
H1Gq5Q9el,male,IndianSubContinent,Reject
Hk1l9Xqxe,male,British,Reject
HkIQH7qel,male,British,Reject
B1IzH7cxl,male,EastAsian,Reject
Bkepl7cee,male,French,Reject
Bkp_y7qxe,male,French,Reject
HkvS3Mqxe,male,Muslim,Reject
HJy_5Mcll,male,Jewish,Reject
SJBr9Mcxl,female,Hispanic,Reject
B1PA8fqeg,male,Japanese,Reject
ryh_8f9lg,male,French,Reject
HyNxRZ9xg,female,EastAsian,Reject
rky3QW9le,male,British,Reject
SJUdkecgx,female,nan,Reject
BkXMikqxx,,French,Reject
HJ1JBJ5gl,male,British,Reject
B1akgy9xx,male,British,Reject
BJa0ECFxe,male,British,Reject
BJlxmAKlg,male,EastAsian,Reject
r1yjkAtxe,male,Jewish,Reject
Hy8X3aKee,male,EastAsian,Reject
rJsiFTYex,male,EastAsian,Reject
HJhcg6Fxg,male,Jewish,Reject
ryT9R3Yxe,female,EastAsian,Reject
rksfwnFxl,male,EastAsian,Reject
H1Heentlx,female,EastAsian,Reject
Sk2iistgg,male,British,Reject
BJuysoFeg,male,EastAsian,Reject
S1xh5sYgx,male,French,Reject
HJWzXsKxx,male,EastAsian,Reject
S1j4RqYxg,male,British,Reject
SygvTcYee,male,French,Reject
rJo9n9Feg,male,EastAsian,Reject
B1TTpYKgx,,IndianSubContinent,Reject
HyET6tYex,male,Japanese,Reject
Sywh5KYex,male,French,Reject
Sy1rwtKxg,male,Africans,Reject
Hy3_KuYxg,male,British,Reject
rJzaDdYxx,male,IndianSubContinent,Reject
BJAA4wKxg,male,Germanic,Reject
SJQNqLFgl,female,French,Reject
SkgSXUKxx,female,EastAsian,Reject
r1tHvHKge,male,British,Reject
SJx7Jrtgl,female,IndianSubContinent,Reject
Bk67W4Yxl,male,British,Reject
r1kQkVFgl,male,IndianSubContinent,Reject
SJAr0QFxe,male,EastAsian,Reject
SkBsEQYll,female,British,Reject
S1AG8zYeg,,IndianSubContinent,Reject
rJRhzzKxl,male,British,Reject
S1Jhfftgx,male,British,Reject
HJeqWztlg,male,Italian,Reject
ry54RWtxx,male,Muslim,Reject
Sk36NgFeg,female,French,Reject
HJ7O61Yxe,male,Germanic,Reject
rkKCdAdgx,male,French,Reject
BJxhLAuxg,male,French,Reject
HJ6idTdgg,,EastAsian,Reject
Sy7m72Ogg,male,EastAsian,Reject
ByQPVFull,male,EastAsian,Reject
HyEeMu_xx,male,British,Reject
BJwFrvOeg,male,EastAsian,Reject
r1osyr_xg,male,EastAsian,Reject
SJNDWNOlg,male,EastAsian,Reject
ryb-q1Olg,,French,Reject
SypU81Ole,male,British,Reject
r1kGbydxg,female,EastAsian,Reject
r1y1aawlg,male,Jewish,Reject
SyCSsUDee,female,EastAsian,Reject
ByOK0rwlx,male,IndianSubContinent,Reject
Bk8N0RLxx,male,French,Reject
HkzuKpLgg,female,EastAsian,Reject
BJ46w6Ule,male,Jewish,Reject
BkfiXiUlg,male,EastEuropean,Reject
HyAddcLge,male,EastAsian,Reject
SJqaCVLxx,male,Muslim,Reject
SkqMSCHxe,male,Japanese,Reject
rJXTf9Bxg,male,Italian,Reject
ryAe2WBee,female,EastAsian,Reject
HyQWFOVge,male,Japanese,Reject
ryXZmzNeg,female,British,Reject
S1HEBe_Jl,,Africans,Reject
S1vyujVye,male,British,Reject
BkCPyXm1l,male,IndianSubContinent,Reject
S1J0E-71l,male,British,Reject
